random-1;1.2420749279538905;15;0.062003374099731445;0.8377452781670076
random-4;1.0167926112510495;26;1.673095703125;0.75
random-5;0.9129834254143646;31;3.6512086391448975;0.75
random-6;0.9813988095238095;19;0.09900569915771484;0.06312405461868897
random-8;0.8550824175824175;22;0.7140407562255859;0.75
random-10;0.8988959907030796;31;3.3231899738311768;0.75
market-1;1.5434402332361514;8;0.03000164031982422;0.011055348551232469
market-2;1.231047227926078;8;0.05100297927856445;0.75
market-5;1.4724891506509605;8;0.02300119400024414;0.25
wind-2005;90391.75;4;0.0030002593994140625;0.25
wind-2006;87219.51219512195;5;0.005000114440917969;0.5
brock200-2;0.5454545454545454;12;0.06200385093688965;0.75
football;0.5263157894736842;10;0.004000186920166016;0.25
johnson16-2-4;0.5555555555555556;10;0.06400346755981445;0.25
karate;0.5454545454545454;6;0.0009999275207519531;0.25
keller4;0.5416666666666666;13;0.08100438117980957;0.75
c-fat500-10;1.0080160320641283;126;84.0878095626831;0.5
email;1.4532179556517035;12;0.003999948501586914;0.75
jazz;0.8886428345460298;30;0.21601223945617676;0.8064584794046742
p_hat1000-1;0.8057726999398677;9;0.14700841903686523;0.75
polbooks;2.975;6;0.0009999275207519531;0.75
sanr400-0-7;1.335166612746684;18;0.5860335826873779;0.25
