Instancias;f;c;t;var;mejor
p-hat300-2;1.004757373929591;21;1.0940625667572021;0.866210736;0
p-hat300-3;1.6018368449486764;32;4.747271299362183;0.778445803;0
p-hat500-1;4.387096774193548;8;0.23101329803466797;0.776851639;0
p-hat700-1;4.536031589338598;8;0.44202566146850586;0.784818236;0
p-hat1000-1;2.075268817204301;10;0.8270473480224609;0.940723541;0
san200-0-7-1;1.1401192504258943;25;0.9960570335388184;0.895974521;0
san200-0-7-2;2.752;14;1.2350704669952393;0.848291069;0
san200-0-9-1;1.1930172584804601;55;11.853677988052368;0.758498531;0
san200-0-9-2;1.3277673040667923;43;10.214584350585938;0.734446539;0
san200-0-9-3;1.1145175834084762;35;9.7035551071167;0.74954661;0
san400-0-5-1;1.703370786516854;9;1.2580718994140625;0.970468606;0
san400-0-7-1;3.865968008825152;22;5.207298040390015;0.691463048;0
san400-0-7-2;3.327338129496403;18;4.6082634925842285;0.794481894;0
san400-0-7-3;3.4126547455295735;16;3.1571805477142334;0.809773983;0
san400-0-9-1;1.756530433695788;55;50.8769097328186;0;1
san1000;2.911684251660805;10;9.434539794921875;0.965096089;0
sanr200-0-7;1.3581780538302277;17;0.7650437355041504;0.864992241;0
sanr200-0-9;1.4445945945945946;36;10.05957555770874;0.702758314;0
sanr400-0-5;1.0058357649020426;12;0.7040402889251709;0.933956943;0
sanr400-0-7;4.065824468085107;19;3.494199752807617;0.713472553;0
karate;0.15894039735099338;5;0.0009999275207519531;0.990367249;0
dolphins;1.2027972027972027;5;0.0009999275207519531;0.896310586;0
polbooks;2.975;6;0.004000186920166016;0.757142857;0
adjnoun;0.4637305699481865;5;0.020000934600830078;0.976279766;0
football;1.9659090909090908;9;0.0019998550415039062;0.794145645;0
jazz;0.8886428345460298;30;0.05100297927856445;0.87810112;0
celegans-metabolic;1.2098431584640346;9;0.026001691818237305;0.80856912;0
email;1.4532179556517035;12;0.002000093460083008;0.974571864;0
